year;area;information;price_per_square_meter;observations
2008;Muurame;single_family_houses;1432;33
2008;Mynamaki;block_of_flats;901;10
2008;Mynamaki;single_family_houses;1287;29
2008;Myrskyla;block_of_flats;;
2008;Myrskyla;single_family_houses;;2
2008;Mantsala;block_of_flats;1815;64
2008;Mantsala;single_family_houses;1853;119
2008;Mantyharju;block_of_flats;958;30
2008;Mantyharju;single_family_houses;1015;33
2008;Mantta-Vilppula;block_of_flats;610;98
2008;Mantta-Vilppula;single_family_houses;853;55
2008;Naantali;block_of_flats;1626;121
2008;Naantali;single_family_houses;1833;105
2008;Nakkila;block_of_flats;991;11
2008;Nakkila;single_family_houses;1008;27
2008;Nastola;block_of_flats;947;106
2008;Nastola;single_family_houses;1451;87
2008;Nilsia;block_of_flats;915;24
2008;Nilsia;single_family_houses;1098;32
2008;Nivala;block_of_flats;1300;16
2008;Nivala;single_family_houses;1133;55
2008;Nokia;block_of_flats;1318;307
2008;Nokia;single_family_houses;1775;235
2008;Noormarkku;block_of_flats;848;8
2008;Noormarkku;single_family_houses;1090;24
2008;Nousiainen;block_of_flats;;4
2008;Nousiainen;single_family_houses;1493;7
2008;Nummi-Pusula;block_of_flats;;
2008;Nummi-Pusula;single_family_houses;1284;26
2008;Nurmes;block_of_flats;712;57
2008;Nurmes;single_family_houses;744;40
2008;Nurmijarvi;block_of_flats;1845;148
2008;Nurmijarvi;single_family_houses;2138;232
2008;Narpio;block_of_flats;790;12
2008;Narpio;single_family_houses;1041;14
2008;Oravainen;block_of_flats;;2
2008;Oravainen;single_family_houses;;3
2008;Orimattila;block_of_flats;1142;83
2008;Orimattila;single_family_houses;1306;66
2008;Oripaa;block_of_flats;;4
2008;Oripaa;single_family_houses;;3
2008;Orivesi;block_of_flats;970;55
2008;Orivesi;single_family_houses;1103;43
2008;Oulainen;block_of_flats;921;14
2008;Oulainen;single_family_houses;960;49
2008;Oulu;block_of_flats;1484;1608
2008;Oulu;single_family_houses;1567;1002
2008;Oulunsalo;block_of_flats;1490;8
2008;Oulunsalo;single_family_houses;1412;79
2008;Padasjoki;block_of_flats;944;12
2008;Padasjoki;single_family_houses;;4
2008;Paimio;block_of_flats;1126;66
2008;Paimio;single_family_houses;1557;62
2008;Paltamo;block_of_flats;;3
2008;Paltamo;single_family_houses;;2
2008;Parikkala;block_of_flats;;16
2008;Parikkala;single_family_houses;;17
2008;Parkano;block_of_flats;797;82
2008;Parkano;single_family_houses;804;54
2008;Pelkosenniemi;block_of_flats;;
2008;Pelkosenniemi;single_family_houses;;7
2008;Perho;block_of_flats;;
2008;Perho;single_family_houses;733;6
2008;Pernaja;block_of_flats;;
2008;Pernaja;single_family_houses;1403;8
2008;Pertunmaa;block_of_flats;;
2008;Pertunmaa;single_family_houses;794;10
2008;Petajavesi;block_of_flats;;4
2008;Petajavesi;single_family_houses;1334;7
2008;Pieksamaki;block_of_flats;813;186
2008;Pieksamaki;single_family_houses;1056;86
2008;Pielavesi;block_of_flats;765;24
2008;Pielavesi;single_family_houses;1090;16
2008;Pietarsaari;block_of_flats;1137;273
2008;Pietarsaari;single_family_houses;1471;84
2008;Pedersoren_kunta;block_of_flats;;
2008;Pedersoren_kunta;single_family_houses;;11
2008;Pihtipudas;block_of_flats;;5
2008;Pihtipudas;single_family_houses;881;17
2008;Pirkkala;block_of_flats;1616;85
2008;Pirkkala;single_family_houses;2073;105
2008;Polvijarvi;block_of_flats;;3
2008;Polvijarvi;single_family_houses;950;18
2008;Pomarkku;block_of_flats;;
2008;Pomarkku;single_family_houses;785;6
2008;Pori;block_of_flats;1229;1075
2008;Pori;single_family_houses;1257;388
2008;Pornainen;block_of_flats;;3
2008;Pornainen;single_family_houses;1936;10
2008;Posio;block_of_flats;;2
2008;Posio;single_family_houses;;4
2008;Pudasjarvi;block_of_flats;;5
2008;Pudasjarvi;single_family_houses;797;16
2008;Pukkila;block_of_flats;;1
